"last_name, first_name","player_id","year","xba","xslg","xwoba","xobp","xiso","exit_velocity_avg","launch_angle_avg","barrel_batted_rate",""
"Taveras, Leody","665750","2023",".270",".405",".320",".320",".135","90.1","10.2",7.2,
"Freeman, Freddie","518692","2023",".320",".564",".409",".401",".244","90","15.2",11.1,
"Riley, Austin","663586","2023",".272",".515",".366",".341",".243","92.3","13.5",13.9,
"Swanson, Dansby","621020","2023",".254",".455",".346",".337",".201","89.3","13",10.9,
"Smith, Dominic","642086","2023",".256",".397",".322",".329",".141","86.3","12.8",6.6,
"Hoerner, Nico","663538","2023",".272",".355",".311",".338",".083","86.6","10.5",1.8,
"Guerrero Jr., Vladimir","665489","2023",".291",".494",".374",".371",".203","92.1","10.5",11.1,
"Davis, J.D.","605204","2023",".241",".410",".324",".322",".169","91.1","7.8",9.6,
"Edman, Tommy","669242","2023",".260",".383",".310",".319",".123","89.1","7.5",5,
"Machado, Manny","592518","2023",".251",".455",".332",".315",".204","91","15",10.5,
"Diaz, Elias","553869","2023",".243",".372",".295",".295",".129","88.1","12.7",6.2,
"Turner, Trea","607208","2023",".266",".442",".330",".320",".177","89.9","13",8.4,
"Nootbaar, Lars","663457","2023",".263",".435",".357",".371",".172","89.1","7.2",8.8,
"Alonso, Pete","624413","2023",".244",".528",".370",".343",".284","89.5","18.2",14.7,
"Adames, Willy","642715","2023",".242",".442",".341",".334",".200","87.4","18.2",12.4,
"Arozarena, Randy","668227","2023",".242",".436",".352",".358",".194","91.7","11.3",12.3,
"Castellanos, Nick","592206","2023",".259",".444",".323",".301",".185","88.9","14.4",10.3,
"Thomas, Lane","657041","2023",".254",".433",".319",".304",".179","88.5","10.8",9.6,
"Perez, Salvador","521692","2023",".264",".458",".326",".304",".194","90.1","15.6",8.8,
"Goldschmidt, Paul","502671","2023",".267",".486",".367",".363",".220","91.3","12.8",12,
"Arcia, Orlando","606115","2023",".246",".398",".309",".305",".153","88.2","5.4",6.9,
"Abrams, CJ","682928","2023",".248",".398",".306",".302",".151","87.4","13.5",6.9,
"Turner, Justin","457759","2023",".259",".443",".336",".330",".184","89.5","16.5",5.7,
"Witt Jr., Bobby","677951","2023",".297",".535",".373",".340",".238","90.7","15.7",11.5,
"Jung, Josh","673962","2023",".256",".476",".336",".306",".221","91.8","15",11.9,
"Suwinski, Jack","669261","2023",".218",".464",".349",".337",".245","90.5","22.4",15.7,
"Suzuki, Seiya","673548","2023",".282",".468",".358",".357",".186","91.4","10.8",10.5,
"Chapman, Matt","656305","2023",".229",".457",".339",".323",".228","93.4","18.5",17.1,
"Olson, Matt","621566","2023",".263",".561",".394",".373",".298","93.7","16.1",16.4,
"Renfroe, Hunter","592669","2023",".224",".365",".289",".290",".141","88.3","15",6.1,
"Carroll, Corbin","682998","2023",".269",".439",".346",".349",".170","90","11",7.6,
